name, C, R, R_v, I, zpv, PA, PV, Q , 
celiac_trunk_C116, 1.6009112e-11, 1460894.0, 854183000.0, 520921.28, 5.782434e-07, 14064.738826478786, 479.83880372968076, 5.295369080902407e-06, 
renal_L166, 1.3015332e-11, 4001257.8, 854183000.0, 982619.75, 5.173628e-07, 14060.740306157608, 488.7168949778973, 5.2856726148578504e-06, 
renal_R178, 2.7386468e-11, 4956134.0, 854183000.0, 1432232.6, 1.0442066e-06, 14058.049125783547, 487.8784205110507, 5.280354650700607e-06, 
internal_iliac_T1_R218, 1.1556487e-11, 11710522.0, 375754000.0, 3052017.0, 1.8098397e-06, 13966.427073655974, 519.0671225905769, 1.1804964903664148e-05, 
profundus_T2_R224, 3.8430696e-11, 114844940.0, 310612000.0, 17329380.0, 3.444746e-06, 13780.464300754451, 638.100718087287, 1.2555210946354974e-05, 
anterior_tibial_T3_R230, 7.213731e-12, 2127074200.0, 2222960000.0, 94938530.0, 1.6511786e-06, 13549.846845266049, 2995.8279943556536, 1.1992716152766477e-06, 
posterior_tibial_T4_R236, 8.084671e-12, 1707921200.0, 1917610000.0, 84696470.0, 1.8184111e-06, 13524.898392516232, 1166.0326485245962, 1.6558765571877405e-06, 
internal_iliac_T1_L196, 1.1556471e-11, 11710506.0, 376879000.0, 3052012.8, 1.8098372e-06, 13967.044115038489, 520.2481575099442, 1.1769590272439295e-05, 
profundus_T2_L202, 3.8430696e-11, 114844940.0, 310778000.0, 17329380.0, 3.444746e-06, 13781.179903166858, 638.8213248840152, 1.2549256842576155e-05, 
anterior_tibial_T3_L208, 7.21375e-12, 2127079700.0, 2223650000.0, 94938776.0, 1.6511829e-06, 13550.677829447077, 2996.134937584225, 1.1990514490533066e-06, 
posterior_tibial_T4_L214, 8.084671e-12, 1707921200.0, 1918450000.0, 84696470.0, 1.8184111e-06, 13525.737518440154, 1166.6170918995242, 1.6553540618780991e-06, 
ulnar_T2_R42, 1.3906783e-11, 620138430.0, 1064900000.0, 40339756.0, 1.4902334e-06, 13527.719665627043, 8136.155737950731, 1.4117666622126999e-06, 
radial_T1_R44, 1.6687408e-11, 853560770.0, 1045880000.0, 53182924.0, 1.8025177e-06, 13636.450574005636, 10711.88487952007, 7.310276546752701e-07, 
ulnar_T2_L90, 1.3906841e-11, 620141000.0, 1085530000.0, 40339924.0, 1.4902397e-06, 13519.390891393234, 8081.21716966601, 1.4012278223462069e-06, 
radial_T1_L92, 1.6687355e-11, 853557950.0, 1027150000.0, 53182748.0, 1.8025117e-06, 13627.313082555742, 10737.674611033975, 7.326377429482212e-07, 
internal_carotid_R8_C, 1.6901234e-12, 76031880.0, 851183000.0, 6127977.0, 3.4752958e-07, 13860.857413899155, 484.94438885723366, 5.086511352379568e-06, 
external_carotid_T2_R26, 1.1266578e-11, 23593136.0, 851183000.0, 3973211.0, 9.837513e-07, 14049.454080506268, 767.4557280866043, 5.151801080661025e-06, 
internal_carotid_L50_C, 1.6901234e-12, 76031880.0, 854183000.0, 6127977.0, 3.4752958e-07, 13847.173712315725, 491.9913489096541, 5.061301182985068e-06, 
external_carotid_T2_L62, 1.1266614e-11, 23593212.0, 854183000.0, 3973224.0, 9.837545e-07, 14034.82525975733, 763.7278753141685, 5.1296470063718445e-06, 
vertebral_L2, 1.0753675e-11, 672135400.0, 854183000.0, 39321880.0, 1.1749546e-06, 14073.889771903585, 634.4564966988773, 4.154205054582408e-06, 
vertebral_R272, 1.0773207e-11, 673356200.0, 851183000.0, 39393300.0, 1.1770887e-06, 14079.723155856951, 641.9153852141866, 4.163644156876268e-06, 
u_ra, 478.1601414747466 , 
u_ao, 14089.946707953895 , 
